id,listnum,category,item,rt
007-DlWW5ljGl,0,animali,banana,2590
007-DlWW5ljGl,0,animali,cane,8694
015-Wxp5TYig8,0,animali,animali,6587
015-Wxp5TYig8,0,animali,cane,6587
015-Wxp5TYig8,0,animali,gatto,6587
015-Wxp5TYig8,0,animali,mucca,6587
015-Wxp5TYig8,0,animali,maiale,6587
015-Wxp5TYig8,0,animali,attacchino,9271
015-Wxp5TYig8,0,animali,capra,13179
015-Wxp5TYig8,0,animali,pecora,13179
015-Wxp5TYig8,0,animali,giraffa,43864
015-Wxp5TYig8,0,animali,leone,46935
015-Wxp5TYig8,0,animali,ippopotamo,50513
015-Wxp5TYig8,0,animali,canguro,53216
015-Wxp5TYig8,0,animali,elefante,59621
015-Wxp5TYig8,1,frutta,banana,5787
015-Wxp5TYig8,1,frutta,arancia,5787
015-Wxp5TYig8,1,frutta,kiwi,8792
015-Wxp5TYig8,1,frutta,noci,12992
015-Wxp5TYig8,1,frutta,ananas,17420
015-Wxp5TYig8,1,frutta,melograno,21807
015-Wxp5TYig8,1,frutta,pesca,35907
015-Wxp5TYig8,2,verdura,cavolfiore,6412
015-Wxp5TYig8,2,verdura,broccoli,6412
015-Wxp5TYig8,2,verdura,verza,6412
015-Wxp5TYig8,2,verdura,finocchi,6412
015-Wxp5TYig8,2,verdura,insalata,9858
015-Wxp5TYig8,2,verdura,radicchio,9858
015-Wxp5TYig8,2,verdura,zucca,22796
015-Wxp5TYig8,2,verdura,cipolla,54247
015-Wxp5TYig8,2,verdura,pori,60305
015-Wxp5TYig8,3,animali,allora,4796
015-Wxp5TYig8,3,animali,mucca,9517
015-Wxp5TYig8,3,animali,pecora,9517
015-Wxp5TYig8,3,animali,cavallo,9517
015-Wxp5TYig8,3,animali,gallo,11692
015-Wxp5TYig8,3,animali,maiale,15839
015-Wxp5TYig8,3,animali,giraffa,29444
015-Wxp5TYig8,3,animali,elefante,29444
015-Wxp5TYig8,3,animali,scimmia,33048
015-Wxp5TYig8,3,animali,ippopotamo,33048
015-Wxp5TYig8,3,animali,leone,38733
015-Wxp5TYig8,3,animali,tigre,38733
015-Wxp5TYig8,4,frutta,banana,5819
015-Wxp5TYig8,4,frutta,arancia,5819
015-Wxp5TYig8,4,frutta,kiwi,5819
015-Wxp5TYig8,4,frutta,melograno,42436
015-Wxp5TYig8,4,frutta,cachi,45221
015-Wxp5TYig8,4,frutta,ananas,48605
015-Wxp5TYig8,5,verdura,verza,8691
015-Wxp5TYig8,5,verdura,cavolfiore,13540
015-Wxp5TYig8,5,verdura,radicchio,17829
015-Wxp5TYig8,5,verdura,insalata,17829
015-Wxp5TYig8,5,verdura,carote,17829
015-Wxp5TYig8,5,verdura,cipolla,24625
MF-YOtfJxdNv,0,animali,cane,10012
MF-YOtfJxdNv,0,animali,gatto,10012
MF-YOtfJxdNv,0,animali,uccello,10012
MF-YOtfJxdNv,0,animali,pavone,10012
MF-YOtfJxdNv,0,animali,lupo,10012
MF-YOtfJxdNv,0,animali,cerbiatto,10012
MF-YOtfJxdNv,0,animali,maiale,33482
MF-YOtfJxdNv,0,animali,asino,33482
MF-YOtfJxdNv,0,animali,cavallo,33482
MF-YOtfJxdNv,0,animali,pulcino,37360
MF-YOtfJxdNv,0,animali,gallina,37360
MF-YOtfJxdNv,0,animali,gallo,37360
MF-YOtfJxdNv,0,animali,pavone,40000
MF-YOtfJxdNv,0,animali,palena,50858
MF-YOtfJxdNv,0,animali,pitone,57472
MF-YOtfJxdNv,1,frutta,fragole,12774
MF-YOtfJxdNv,1,frutta,kiwi,12774
MF-YOtfJxdNv,1,frutta,melone,21214
MF-YOtfJxdNv,1,frutta,papaya,21214
MF-YOtfJxdNv,1,frutta,ciliegie,43293
MF-YOtfJxdNv,1,frutta,castagne,54564
MF-YOtfJxdNv,2,verdura,lattuga,8411
MF-YOtfJxdNv,2,verdura,sedano,17255
MF-YOtfJxdNv,2,verdura,rucola,52591
MF-YOtfJxdNv,2,verdura,cipolla,59396
PL-I775dRZdA,0,animali,cavallo,18336
PL-I775dRZdA,0,animali,tartaruga,18336
PL-I775dRZdA,0,animali,anatra,25934
PL-I775dRZdA,0,animali,oca,25934
PL-I775dRZdA,0,animali,gallina,25934
PL-I775dRZdA,0,animali,lumaca,40075
PL-I775dRZdA,0,animali,gatto,51754
PL-I775dRZdA,0,animali,leone,58585
PL-I775dRZdA,1,frutta,limone,49010
PL-I775dRZdA,1,frutta,mela,55267
PL-I775dRZdA,2,verdura,lattuga,31477
PL-I775dRZdA,2,verdura,la,31477
PL-I775dRZdA,2,verdura,belga,31477
PL-I775dRZdA,3,animali,cane,11108
PL-I775dRZdA,3,animali,e,11108
PL-I775dRZdA,3,animali,gatto,11108
PL-I775dRZdA,3,animali,cavallo,11108
PL-I775dRZdA,3,animali,topo,11108
PL-I775dRZdA,3,animali,leone,15949
PL-I775dRZdA,3,animali,siena,15949
PL-I775dRZdA,3,animali,uccello,40834
PL-I775dRZdA,3,animali,puma,59070
PL-I775dRZdA,3,animali,panda,59070
PL-I775dRZdA,4,frutta,kiwi,24518
PL-I775dRZdA,4,frutta,fragole,48631
PL-I775dRZdA,5,verdura,zucchine,14225
PL-I775dRZdA,5,verdura,radicchio,20676
PL-I775dRZdA,5,verdura,pomodoro,43827
PL-I775dRZdA,5,verdura,cetriolo,59547
MA-k8TRO2jAu,0,animali,gatto,8547
MA-k8TRO2jAu,0,animali,gallina,8547
MA-k8TRO2jAu,0,animali,topo,8547
MA-k8TRO2jAu,0,animali,tigre,20537
MA-k8TRO2jAu,0,animali,drago,20537
